CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,NOMTIPO,COBERTURA,GM,FACTOR_UNO,MUN_AFRO,PTOT,PTOT*,P3MAS,P3MAS*,PIND,PIND*,RESP,RESP*,PHLI,PHLI*,PADI,PADI*,PAFRO,PAFRO*,P3a17T,P3a17T*,P3a17I,P3a17I*,P3a17R,P3a17R*,P3a17HLI,P3a17HLI*,P3a17AI,P3a17AI*,P3a17AF,P3a17AF*,P3a5T,P3a5T*,P3a5I,P3a5I*,P3a5R,P3a5R*,P3a5HLI,P3a5HLI*,P3a5AI,P3a5AI*,P6a11T,P6a11T*,P6a11I,P6a11I*,P6a11R,P6a11R*,P6a11HLI,P6a11HLI*,P6a11AI,P6a11AI*,P12a14T,P12a14T*,P12a14I,P12a14I*,P12a14R,P12a14R*,P12a14HLI,P12a14HLI*,P12a14AI,P12a14AI*,P15a17T,P15a17T*,P15a17I,P15a17I*,P15a17R,P15a17R*,P15a17HLI,P15a17HLI*,P15a17AI,P15a17AI*,PA3a17T,PA3a17T*,PA3a17I,PA3a17I*,PA3a17R,PA3a17R*,PA3a17HLI,PA3a17HLI*,PA3a17AI,PA3a17AI*,PA3a5T,PA3a5T*,PA3a5I,PA3a5I*,PA3a5R,PA3a5R*,PA3a5HLI,PA3a5HLI*,PA3a5AI,PA3a5AI*,PA6a11T,PA6a11T*,PA6a11I,PA6a11I*,PA6a11R,PA6a11R*,PA6a11HLI,PA6a11HLI*,PA6a11AI,PA6a11AI*,PA12a14T,PA12a14T*,PA12a14I,PA12a14I*,PA12a14R,PA12a14R*,PA12a14HLI,PA12a14HLI*,PA12a14AI,PA12a14AI*,PA15a17T,PA15a17T*,PA15a17I,PA15a17I*,PA15a17R,PA15a17R*,PA15a17HLI,PA15a17HLI*,PA15a17AI,PA15a17AI*,PANALF_T,PANALF_T*,PANALF_I,PANALF_I*,PANALF_R,PANALF_R*,PANALF_HLI,PANALF_HLI*,PANALF_AI,PANALF_AI*,PANALF_AF,PANALF_AF*,PEB_20a29_T,PEB_20a29_T*,PEB_20a29_I,PEB_20a29_I*,PEB_20a29_R,PEB_20a29_R*,PEB_20a29_HLI,PEB_20a29_HLI*,PEB_20a29_AI,PEB_20a29_AI*,PEMS_20a29_T,PEMS_20a29_T*,PEMS_20a29_I,PEMS_20a29_I*,PEMS_20a29_R,PEMS_20a29_R*,PEMS_20a29_HLI,PEMS_20a29_HLI*,PEMS_20a29_AI,PEMS_20a29_AI*,P_P,P_PE,P_PM,P_VC,P_VI,P_NP
07,075,Chiapas,Las Rosas,Municipio con población indígena dispera,Municipio muestreado,Muy alto,0,0,28261,,26393,,4043,,24218,,1548,,12286,,n.a.,,9229,,1101,,8128,,136,*,3962,,n.a.,,1847,,n.a.,,n.a.,,n.a.,,n.a.,,3789,,n.a.,,n.a.,,n.a.,,n.a.,,1924,,n.a.,,n.a.,,n.a.,,n.a.,,1669,,n.a.,,n.a.,,n.a.,,n.a.,,6793,,n.a.,,n.a.,,n.a.,,n.a.,,1146,,n.a.,,n.a.,,n.a.,,n.a.,,3528,,n.a.,,n.a.,,n.a.,,n.a.,,1385,,n.a.,,n.a.,,n.a.,,n.a.,,734,,n.a.,,n.a.,,n.a.,,n.a.,,4847,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,2017,,n.a.,,n.a.,,n.a.,,n.a.,,914,,n.a.,,n.a.,,n.a.,,n.a.,,20861,11057,9804,2220,250,546
07,076,Chiapas,Sabanilla,Municipio indígena,Municipio censado,Muy alto,0,0,26921,,24890,,24387,,2534,,19320,,25073,,n.a.,,9889,,8910,,979,,6950,,9111,,n.a.,,2128,,1901,,227,*,1399,,1957,,3913,,3512,,401,,2763,,3567,,2017,,1820,,197,*,1467,,1871,,1831,,1677,,154,*,1321,,1716,,8584,,7694,,890,,5965,,7884,,1654,,1478,,176,,1070,,1519,,3862,,3462,,400,,2733,,3519,,1863,,1672,,191,,1340,,1725,,1205,,1082,,123,,822,,1121,,3662,,3458,,204,*,3302,,3491,,n.a.,,2818,,2509,,309,,2099,,2631,,1265,,1085,,180,,848,,1151,,26823,18379,8444,300,72,41
07,077,Chiapas,Salto de Agua,Municipio indígena,Municipio muestreado,Muy alto,0,0,63446,,59095,,57024,,6422,,49904,,56219,,n.a.,,23163,,21195,,1968,,19524,,20714,,n.a.,,4630,,4236,,394,*,3740,,4136,,9342,,8521,,821,,7828,,8364,,4894,,4482,,412,*,4210,,4354,,4297,,3956,,341,*,3746,,3860,,20136,,18308,,1828,,16833,,17901,,3513,,3194,,319,,2796,,3125,,9123,,8306,,817,,7641,,8165,,4446,,4042,,404,,3802,,3926,,3054,,2766,,288,,2594,,2685,,9590,,9140,,450,*,8916,,8957,,n.a.,,6432,,5645,,787,,5245,,5639,,3160,,2677,,483,*,2442,,2743,,39456,22757,16699,2931,261,761
07,078,Chiapas,San Cristóbal de las Casas,Municipio indígena,Municipio muestreado,Bajo,0,0,209591,,197132,,100078,,109513,,63454,,95253,,n.a.,,62558,,33331,,29227,,16016,,30714,,n.a.,,13425,,7085,,6340,,3028,,6428,,24802,,13254,,11548,,5831,,12123,,12799,,6831,,5968,,3598,,6430,,11532,,6161,,5371,,3559,,5733,,52316,,25493,,26823,,10507,,23056,,9201,,4068,,5133,,1257,*,3607,,23763,,12423,,11340,,5226,,11275,,11180,,5498,,5682,,2548,,5147,,8172,,3504,,4668,,1476,*,3027,,14622,,10718,,3904,,10114,,10760,,n.a.,,27070,,11051,,16019,,6818,,10081,,19095,,6998,,12097,,3896,,5941,,124102,34772,89330,44518,10178,28041
07,079,Chiapas,San Fernando,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,39204,,36533,,1487,,37717,,618,*,5613,,n.a.,,12299,,463,*,11836,,85,*,1546,,n.a.,,2627,,n.a.,,n.a.,,n.a.,,n.a.,,4909,,n.a.,,n.a.,,n.a.,,n.a.,,2493,,n.a.,,n.a.,,n.a.,,n.a.,,2270,,n.a.,,n.a.,,n.a.,,n.a.,,9180,,n.a.,,n.a.,,n.a.,,n.a.,,1506,,n.a.,,n.a.,,n.a.,,n.a.,,4640,,n.a.,,n.a.,,n.a.,,n.a.,,1959,,n.a.,,n.a.,,n.a.,,n.a.,,1075,,n.a.,,n.a.,,n.a.,,n.a.,,3555,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,3666,,n.a.,,n.a.,,n.a.,,n.a.,,1615,,n.a.,,n.a.,,n.a.,,n.a.,,29665,8287,21378,10368,846,2608
07,080,Chiapas,Siltepec,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,35192,,32889,,342,*,34850,,96,*,226,*,n.a.,,13210,,146,*,13064,,23,*,77,*,n.a.,,2681,,n.a.,,n.a.,,n.a.,,n.a.,,5171,,n.a.,,n.a.,,n.a.,,n.a.,,2797,,n.a.,,n.a.,,n.a.,,n.a.,,2561,,n.a.,,n.a.,,n.a.,,n.a.,,11129,,n.a.,,n.a.,,n.a.,,n.a.,,1764,,n.a.,,n.a.,,n.a.,,n.a.,,5040,,n.a.,,n.a.,,n.a.,,n.a.,,2564,,n.a.,,n.a.,,n.a.,,n.a.,,1761,,n.a.,,n.a.,,n.a.,,n.a.,,3423,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,3364,,n.a.,,n.a.,,n.a.,,n.a.,,1251,,n.a.,,n.a.,,n.a.,,n.a.,,14422,4656,9767,728,193,184
07,081,Chiapas,Simojovel,Municipio indígena,Municipio censado,Muy alto,0,0,44295,,40588,,38351,,5944,,30897,,36129,,n.a.,,17740,,15757,,1983,,13147,,14836,,n.a.,,3818,,3371,,447,,2735,,3202,,7370,,6562,,808,,5477,,6187,,3376,,2982,,394,,2522,,2800,,3176,,2842,,334,,2413,,2647,,13502,,11837,,1665,,9797,,11127,,2330,,2022,,308,,1646,,1932,,7007,,6232,,775,,5209,,5882,,2685,,2324,,361,,1943,,2171,,1480,,1259,,221,,999,,1142,,7096,,6540,,556,,6317,,6276,,n.a.,,3573,,2865,,708,,2409,,2691,,1441,,1002,,439,,718,,889,,42928,30901,12027,1293,197,358
07,082,Chiapas,Sitalá,Municipio indígena,Municipio censado,Muy alto,1,1,13844,,12835,,13598,,246,,12245,,12872,,5,,5891,,5801,,90,,5600,,5574,,1,,1321,,1301,,20,,1238,,1252,,2438,,2396,,42,,2328,,2304,,1118,,1104,,14,,1065,,1054,,1014,,1000,,14,,969,,964,,4089,,4014,,75,,3855,,3813,,565,,548,,17,,510,,512,,2115,,2076,,39,,2017,,1989,,901,,891,,10,,858,,846,,508,,499,,9,,470,,466,,3351,,3334,,17,,3314,,3260,,1,,698,,670,,28,,623,,593,,285,,264,,21,,228,,208,,13720,9267,4452,245,21,12
07,083,Chiapas,Socoltenango,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,18539,,17307,,2792,,15747,,1504,,3422,,n.a.,,5366,,923,,4443,,312,*,1005,,n.a.,,1183,,n.a.,,n.a.,,n.a.,,n.a.,,2068,,n.a.,,n.a.,,n.a.,,n.a.,,1078,,n.a.,,n.a.,,n.a.,,n.a.,,1037,,n.a.,,n.a.,,n.a.,,n.a.,,4427,,n.a.,,n.a.,,n.a.,,n.a.,,959,,n.a.,,n.a.,,n.a.,,n.a.,,2000,,n.a.,,n.a.,,n.a.,,n.a.,,924,,n.a.,,n.a.,,n.a.,,n.a.,,544,,n.a.,,n.a.,,n.a.,,n.a.,,2504,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,1740,,n.a.,,n.a.,,n.a.,,n.a.,,686,,n.a.,,n.a.,,n.a.,,n.a.,,16750,5862,10888,4015,195,262
07,084,Chiapas,Solosuchiapa,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,8082,,7490,,2685,,5397,,1303,,2885,,n.a.,,2918,,1006,,1912,,302,*,922,,n.a.,,584,,n.a.,,n.a.,,n.a.,,n.a.,,1158,,n.a.,,n.a.,,n.a.,,n.a.,,612,,n.a.,,n.a.,,n.a.,,n.a.,,564,,n.a.,,n.a.,,n.a.,,n.a.,,2532,,n.a.,,n.a.,,n.a.,,n.a.,,486,,n.a.,,n.a.,,n.a.,,n.a.,,1135,,n.a.,,n.a.,,n.a.,,n.a.,,541,,n.a.,,n.a.,,n.a.,,n.a.,,370,,n.a.,,n.a.,,n.a.,,n.a.,,977,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,721,,n.a.,,n.a.,,n.a.,,n.a.,,391,,n.a.,,n.a.,,n.a.,,n.a.,,7109,2859,4250,973,18,75
07,085,Chiapas,Soyaló,Municipio indígena,Municipio muestreado,Alto,0,0,10707,,9960,,4422,,6285,,3196,,3010,,n.a.,,3541,,1719,,1822,,1169,,1087,,n.a.,,676,,306,,370,,176,*,192,*,1451,,710,,741,,492,,441,,732,,369,,363,,256,,229,*,682,,334,,348,,245,,225,*,2935,,1372,,1563,,946,,878,,480,,225,,255,,137,,151,,1408,,690,,718,,481,,427,,628,,295,,333,,201,,179,,419,,162,*,257,,127,*,121,*,1179,,477,,702,,428,,330,*,n.a.,,1195,,391,,804,,321,,306,,489,,62,*,427,,48,*,47,*,6546,2769,3777,598,92,116
07,086,Chiapas,Suchiapa,Municipio con población indígena dispera,Municipio muestreado,Medio,0,0,24049,,22521,,211,*,23838,,87,*,3090,,n.a.,,7404,,67,*,7337,,16,*,977,,n.a.,,1607,,n.a.,,n.a.,,n.a.,,n.a.,,3052,,n.a.,,n.a.,,n.a.,,n.a.,,1365,,n.a.,,n.a.,,n.a.,,n.a.,,1380,,n.a.,,n.a.,,n.a.,,n.a.,,6162,,n.a.,,n.a.,,n.a.,,n.a.,,971,,n.a.,,n.a.,,n.a.,,n.a.,,2940,,n.a.,,n.a.,,n.a.,,n.a.,,1255,,n.a.,,n.a.,,n.a.,,n.a.,,996,,n.a.,,n.a.,,n.a.,,n.a.,,2369,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,3337,,n.a.,,n.a.,,n.a.,,n.a.,,2037,,n.a.,,n.a.,,n.a.,,n.a.,,18520,5788,12732,5342,722,1804
07,087,Chiapas,Suchiate,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,38797,,35826,,267,*,38530,,138,*,2817,,n.a.,,12438,,93,*,12345,,57,*,984,,n.a.,,2733,,n.a.,,n.a.,,n.a.,,n.a.,,4923,,n.a.,,n.a.,,n.a.,,n.a.,,2409,,n.a.,,n.a.,,n.a.,,n.a.,,2373,,n.a.,,n.a.,,n.a.,,n.a.,,9242,,n.a.,,n.a.,,n.a.,,n.a.,,1319,,n.a.,,n.a.,,n.a.,,n.a.,,4518,,n.a.,,n.a.,,n.a.,,n.a.,,1990,,n.a.,,n.a.,,n.a.,,n.a.,,1415,,n.a.,,n.a.,,n.a.,,n.a.,,3725,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,4161,,n.a.,,n.a.,,n.a.,,n.a.,,2290,,n.a.,,n.a.,,n.a.,,n.a.,,36450,12080,24371,14894,636,1133
07,088,Chiapas,Sunuapa,Municipio con población indígena dispera,Municipio censado,Alto,1,0,2283,,2136,,38,,2245,,10,,877,,n.a.,,712,,17,,695,,0,,284,,n.a.,,169,,n.a.,,n.a.,,n.a.,,n.a.,,279,,n.a.,,n.a.,,n.a.,,n.a.,,135,,n.a.,,n.a.,,n.a.,,n.a.,,129,,n.a.,,n.a.,,n.a.,,n.a.,,620,,n.a.,,n.a.,,n.a.,,n.a.,,128,,n.a.,,n.a.,,n.a.,,n.a.,,274,,n.a.,,n.a.,,n.a.,,n.a.,,122,,n.a.,,n.a.,,n.a.,,n.a.,,96,,n.a.,,n.a.,,n.a.,,n.a.,,223,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,259,,n.a.,,n.a.,,n.a.,,n.a.,,133,,n.a.,,n.a.,,n.a.,,n.a.,,1760,501,1259,489,17,45
07,089,Chiapas,Tapachula,Municipio con presencia indígena,Municipio muestreado,Bajo,0,0,348156,,328823,,10574,,337582,,5259,,25163,,n.a.,,100277,,3645,,96632,,1183,*,6581,,n.a.,,20124,,877,*,19247,,146,*,1314,*,40814,,1300,*,39514,,406,*,2592,*,19927,,718,*,19209,,255,*,1372,*,19412,,750,*,18662,,376,*,1303,*,84246,,2670,,81576,,668,*,5291,,11680,,535,*,11145,,56,*,823,*,39451,,1152,,38299,,297,*,2421,,18646,,607,*,18039,,191,*,1245,,14469,,376,*,14093,,124,*,802,*,16258,,1545,*,14713,,1370,*,2832,*,n.a.,,48542,,858,*,47684,,331,*,2604,,33970,,486,*,33484,,168,*,1597,*,219626,48556,171070,93768,24671,65690
07,090,Chiapas,Tapalapa,Municipio indígena,Municipio censado,Alto,1,0,3839,,3614,,3816,,23,,3433,,3758,,n.a.,,1331,,1322,,9,,1218,,1294,,n.a.,,251,,249,,2,,210,,244,,544,,542,,2,,503,,530,,307,,303,,4,,286,,294,,229,,228,,1,,219,,226,,1204,,1196,,8,,1104,,1167,,212,,211,,1,,176,,205,,538,,536,,2,,500,,524,,292,,288,,4,,274,,279,,162,,161,,1,,154,,159,,366,,363,,3,,355,,363,,n.a.,,351,,351,,n.a.,,341,,345,,147,,147,,n.a.,,143,,144,,3474,1593,1881,332,19,58
07,091,Chiapas,Tapilula,Municipio con población indígena dispera,Municipio muestreado,Medio,0,0,12887,,12079,,1945,,10942,,827,,8170,,n.a.,,4250,,637,,3613,,63,*,2647,,n.a.,,893,,n.a.,,n.a.,,n.a.,,n.a.,,1683,,n.a.,,n.a.,,n.a.,,n.a.,,867,,n.a.,,n.a.,,n.a.,,n.a.,,807,,n.a.,,n.a.,,n.a.,,n.a.,,3868,,n.a.,,n.a.,,n.a.,,n.a.,,739,,n.a.,,n.a.,,n.a.,,n.a.,,1659,,n.a.,,n.a.,,n.a.,,n.a.,,823,,n.a.,,n.a.,,n.a.,,n.a.,,647,,n.a.,,n.a.,,n.a.,,n.a.,,1309,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,1658,,n.a.,,n.a.,,n.a.,,n.a.,,966,,n.a.,,n.a.,,n.a.,,n.a.,,10085,2132,7953,2994,123,553
07,092,Chiapas,Tecpatán,Municipio con presencia indígena,Municipio muestreado,Alto,0,0,41305,,38697,,11923,,29382,,7354,,17432,,n.a.,,13693,,4103,,9590,,1890,,5737,,n.a.,,2548,,822,,1726,,302,*,1086,,5409,,1593,,3816,,657,*,2252,,3102,,922,,2180,,529,*,1354,,2634,,766,*,1868,,402,*,1045,,11290,,3290,,8000,,1467,,4696,,1684,,543,,1141,,190,*,740,,5182,,1501,,3681,,582,,2134,,2735,,798,,1937,,469,,1203,,1689,,448,*,1241,,226,*,619,,4217,,1858,,2359,,1656,,2199,,n.a.,,3898,,926,,2972,,583,,1450,,1803,,277,*,1526,,167,*,515,*,33353,13275,20078,5767,479,799
07,093,Chiapas,Tenejapa,Municipio indígena,Municipio censado,Muy alto,0,0,43593,,39738,,43545,,48,*,39427,,43225,,n.a.,,18233,,18221,,12,*,18078,,18116,,n.a.,,4299,,4296,,3,*,4226,,4273,,7698,,7694,,4,*,7658,,7651,,3377,,3375,,2,*,3360,,3358,,2859,,2856,,3,*,2834,,2834,,14016,,14005,,11,*,13929,,13932,,2566,,2564,,2,*,2536,,2551,,7483,,7479,,4,,7449,,7441,,2740,,2738,,2,,2729,,2724,,1227,,1224,,3,,1215,,1216,,5331,,5330,,1,*,5304,,5294,,n.a.,,2485,,2478,,7,*,2445,,2458,,732,,727,,5,*,710,,720,,43061,26298,16763,639,383,23
07,094,Chiapas,Teopisca,Municipio indígena,Municipio muestreado,Alto,0,0,43175,,39772,,23748,,19427,,18547,,27329,,n.a.,,16234,,9867,,6367,,7957,,10918,,n.a.,,3550,,2245,,1305,,1766,,2456,,6646,,4000,,2646,,3265,,4459,,3219,,1931,,1288,,1586,,2177,,2819,,1691,,1128,,1340,,1826,,11554,,6766,,4788,,5443,,7649,,2225,,1378,,847,,1094,,1521,,6161,,3741,,2420,,3072,,4175,,2200,,1211,,989,,1000,,1430,,968,,436,*,532,,277,*,523,*,6716,,4275,,2441,,3958,,4696,,n.a.,,2382,,773,,1609,,616,*,1060,,896,,145,*,751,,99,*,272,*,28767,15144,13623,2644,199,410
07,096,Chiapas,Tila,Municipio indígena,Municipio censado,Muy alto,0,0,77554,,71787,,76584,,970,,68280,,75419,,n.a.,,28470,,28180,,290,*,26547,,27746,,n.a.,,5936,,5860,,76,*,5347,,5777,,11485,,11391,,94,*,10720,,11201,,5779,,5719,,60,*,5484,,5639,,5270,,5210,,60,*,4996,,5129,,24050,,23774,,276,,22362,,23457,,4225,,4156,,69,,3793,,4114,,11148,,11055,,93,,10407,,10878,,5204,,5146,,58,,4924,,5082,,3473,,3417,,56,,3238,,3383,,11948,,11917,,31,*,11807,,11634,,n.a.,,7860,,7747,,113,,7424,,7678,,3613,,3531,,82,*,3279,,3522,,76480,52809,23671,1263,368,335
07,097,Chiapas,Tonalá,Municipio con población indígena dispera,Municipio muestreado,Medio,0,0,89178,,83949,,1280,*,87898,,605,*,2708,,n.a.,,25990,,431,*,25559,,114,*,658,*,n.a.,,5444,,n.a.,,n.a.,,n.a.,,n.a.,,10257,,n.a.,,n.a.,,n.a.,,n.a.,,5191,,n.a.,,n.a.,,n.a.,,n.a.,,5098,,n.a.,,n.a.,,n.a.,,n.a.,,23280,,n.a.,,n.a.,,n.a.,,n.a.,,4350,,n.a.,,n.a.,,n.a.,,n.a.,,9985,,n.a.,,n.a.,,n.a.,,n.a.,,4895,,n.a.,,n.a.,,n.a.,,n.a.,,4050,,n.a.,,n.a.,,n.a.,,n.a.,,6509,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,10378,,n.a.,,n.a.,,n.a.,,n.a.,,6395,,n.a.,,n.a.,,n.a.,,n.a.,,78724,24022,54702,24048,2861,7157
07,098,Chiapas,Totolapa,Municipio con población indígena dispera,Municipio muestreado,Muy alto,0,0,7284,,6778,,1086,,6198,,737,,1494,,n.a.,,2448,,437,,2011,,339,,559,,n.a.,,559,,n.a.,,n.a.,,n.a.,,n.a.,,953,,n.a.,,n.a.,,n.a.,,n.a.,,499,,n.a.,,n.a.,,n.a.,,n.a.,,437,,n.a.,,n.a.,,n.a.,,n.a.,,1836,,n.a.,,n.a.,,n.a.,,n.a.,,271,,n.a.,,n.a.,,n.a.,,n.a.,,897,,n.a.,,n.a.,,n.a.,,n.a.,,446,,n.a.,,n.a.,,n.a.,,n.a.,,222,,n.a.,,n.a.,,n.a.,,n.a.,,1396,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,789,,n.a.,,n.a.,,n.a.,,n.a.,,272,*,n.a.,,n.a.,,n.a.,,n.a.,,7129,4858,2271,163,73,5
07,099,Chiapas,La Trinitaria,Municipio con presencia indígena,Municipio muestreado,Alto,0,0,76917,,71972,,10029,,66888,,6848,,15008,,n.a.,,23835,,3837,,19998,,2418,,5450,,n.a.,,5343,,806,,4537,,429,*,1144,,9329,,1501,,7828,,972,,2214,,4864,,814,,4050,,491,,1066,,4299,,716,,3583,,526,,1026,,19364,,3037,,16327,,1947,,4408,,3756,,526,,3230,,282,,812,,9014,,1423,,7591,,925,,2124,,4215,,663,,3552,,410,,881,,2379,,425,,1954,,330,,591,,8151,,1786,,6365,,1638,,2321,,n.a.,,6141,,658,,5483,,459,,1019,,1909,,241,*,1668,,205,*,282,*,54574,23323,31251,6828,1147,1094
07,100,Chiapas,Tumbalá,Municipio indígena,Municipio censado,Muy alto,0,0,34305,,31769,,34078,,227,*,30841,,33788,,n.a.,,12654,,12568,,86,*,12120,,12495,,n.a.,,2716,,2701,,15,*,2541,,2672,,5116,,5085,,31,*,4915,,5052,,2546,,2518,,28,*,2440,,2522,,2276,,2264,,12,*,2224,,2249,,10563,,10485,,78,,10118,,10426,,1889,,1876,,13,*,1767,,1856,,4893,,4864,,29,*,4704,,4830,,2279,,2253,,26,*,2185,,2257,,1502,,1492,,10,*,1462,,1483,,6221,,6199,,22,*,6161,,6161,,n.a.,,3263,,3236,,27,*,3163,,3206,,1448,,1435,,13,*,1388,,1422,,33963,19897,14066,587,74,78
07,101,Chiapas,Tuxtla Gutiérrez,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,598710,,567460,,35513,,563197,,17140,,63004,,n.a.,,149223,,9764,,139459,,2347,*,15358,,n.a.,,31508,,2288,*,29220,,261,*,3529,*,57598,,3385,*,54213,,455,*,5464,,29813,,1729,*,28084,,508,*,2914,*,30304,,2362,*,27942,,1123,*,3451,*,128600,,6724,,121876,,798,*,11501,,21306,,1121,*,20185,,106,*,1911,*,55072,,3083,,51989,,291,*,5049,,27854,,1286,,26568,,156,*,2423,,24368,,1234,*,23134,,245,*,2118,,19227,,2629,*,16598,,2265,*,3821,,n.a.,,99905,,5672,,94233,,2716,,9152,,78950,,3838,,75112,,1784,*,6568,,294119,46999,247121,199190,42672,165540
07,102,Chiapas,Tuxtla Chico,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,41823,,39389,,126,*,41697,,52,*,1315,,n.a.,,12663,,35,*,12628,,3,*,361,*,n.a.,,2693,,n.a.,,n.a.,,n.a.,,n.a.,,5132,,n.a.,,n.a.,,n.a.,,n.a.,,2529,,n.a.,,n.a.,,n.a.,,n.a.,,2309,,n.a.,,n.a.,,n.a.,,n.a.,,11103,,n.a.,,n.a.,,n.a.,,n.a.,,1739,,n.a.,,n.a.,,n.a.,,n.a.,,5000,,n.a.,,n.a.,,n.a.,,n.a.,,2421,,n.a.,,n.a.,,n.a.,,n.a.,,1943,,n.a.,,n.a.,,n.a.,,n.a.,,3263,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,5462,,n.a.,,n.a.,,n.a.,,n.a.,,3461,,n.a.,,n.a.,,n.a.,,n.a.,,37033,9212,27821,16887,984,3694
07,103,Chiapas,Tuzantán,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,31755,,29658,,785,,30970,,193,*,4371,,n.a.,,10353,,227,*,10126,,9,*,1346,,n.a.,,2128,,n.a.,,n.a.,,n.a.,,n.a.,,4263,,n.a.,,n.a.,,n.a.,,n.a.,,2116,,n.a.,,n.a.,,n.a.,,n.a.,,1846,,n.a.,,n.a.,,n.a.,,n.a.,,8617,,n.a.,,n.a.,,n.a.,,n.a.,,1081,,n.a.,,n.a.,,n.a.,,n.a.,,4106,,n.a.,,n.a.,,n.a.,,n.a.,,1966,,n.a.,,n.a.,,n.a.,,n.a.,,1464,,n.a.,,n.a.,,n.a.,,n.a.,,2471,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,3693,,n.a.,,n.a.,,n.a.,,n.a.,,1973,,n.a.,,n.a.,,n.a.,,n.a.,,26486,10579,15906,5353,487,980
07,104,Chiapas,Tzimol,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,15316,,14418,,478,,14838,,353,*,284,*,n.a.,,4407,,182,*,4225,,128,*,100,*,n.a.,,902,,n.a.,,n.a.,,n.a.,,n.a.,,1762,,n.a.,,n.a.,,n.a.,,n.a.,,925,,n.a.,,n.a.,,n.a.,,n.a.,,818,,n.a.,,n.a.,,n.a.,,n.a.,,3538,,n.a.,,n.a.,,n.a.,,n.a.,,608,,n.a.,,n.a.,,n.a.,,n.a.,,1724,,n.a.,,n.a.,,n.a.,,n.a.,,769,,n.a.,,n.a.,,n.a.,,n.a.,,437,,n.a.,,n.a.,,n.a.,,n.a.,,1956,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,1488,,n.a.,,n.a.,,n.a.,,n.a.,,646,,n.a.,,n.a.,,n.a.,,n.a.,,11338,3570,7768,1893,108,183
07,105,Chiapas,Unión Juárez,Municipio con población indígena dispera,Municipio muestreado,Alto,0,0,15350,,14493,,728,,14622,,267,*,2438,,n.a.,,4754,,271,*,4483,,46,*,775,,n.a.,,994,,n.a.,,n.a.,,n.a.,,n.a.,,1888,,n.a.,,n.a.,,n.a.,,n.a.,,967,,n.a.,,n.a.,,n.a.,,n.a.,,905,,n.a.,,n.a.,,n.a.,,n.a.,,4055,,n.a.,,n.a.,,n.a.,,n.a.,,525,,n.a.,,n.a.,,n.a.,,n.a.,,1844,,n.a.,,n.a.,,n.a.,,n.a.,,929,,n.a.,,n.a.,,n.a.,,n.a.,,757,,n.a.,,n.a.,,n.a.,,n.a.,,1346,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,1829,,n.a.,,n.a.,,n.a.,,n.a.,,1151,,n.a.,,n.a.,,n.a.,,n.a.,,9113,3674,5439,1279,387,592
07,106,Chiapas,Venustiano Carranza,Municipio con presencia indígena,Municipio muestreado,Alto,0,0,65009,,61242,,17958,,47051,,13245,,22652,,n.a.,,20787,,6551,,14236,,4828,,7636,,n.a.,,4439,,1482,,2957,,1106,,1744,,8382,,2690,,5692,,2002,,3108,,4362,,1337,,3025,,965,,1536,,3604,,1042,,2562,,755,,1248,,17215,,5048,,12167,,3734,,6082,,3208,,844,,2364,,612,*,1088,,8039,,2516,,5523,,1888,,2944,,3758,,1142,,2616,,850,,1347,,2210,,546,*,1664,,384,*,703,,9067,,3338,,5729,,3005,,4053,,n.a.,,5882,,1267,,4615,,872,,1831,,2932,,553,*,2379,,340,*,801,*,45261,21789,23472,5403,1217,2031
